,ID,T,S,folder,dp,images_available,bin_thresh,crop_ymin,crop_ymax,rotation,crop_xmin,crop_xmax,processed,notes
0,glass_375um_fresh_1,19.5,0.0,03-01-2025_1,375.0,True,80,400,3000,-90,0,-1,True,
1,glass_875um_fresh_1,19.3,0.0,03-01-2025_2,875.0,True,100,300,3000,-90,0,-1,True,
2,clear__saline_1,19.4,38.37,04-12-2024_1,0.0,True,150,100,3000,90,0,-1,False,
3,clear__saline_2,18.92,35.0,04-12-2024_2,0.0,True,150,0,3000,90,0,-1,False,
4,glass_90um_saline_1,19.33,38.48,05-12-2024_1,90.0,True,50,500,3500,-90,0,-1,True,
5,glass_55um_saline_1,19.21,38.24,05-12-2024_2,55.0,True,50,450,3500,-90,0,-1,True,
6,glass_1mm_saline_1,18.97,38.31,05-12-2024_3,1000.0,True,100,400,3000,-90,0,-1,True,
7,glass_16mm_fresh_1,19.0,0.0,06-01-2025_1,16000.0,True,160,200,3000,-90,0,-1,True,
8,rvs_1mm_fresh_1,18.8,0.0,06-01-2025_2,1000.0,True,100,450,3000,-90,0,-1,True,
9,glass_8mm_fresh_1,18.4,0.0,06-01-2025_3,8000.0,True,150,350,3000,-90,0,-1,False,
10,glass_200um_saline_1,19.3,37.69,06-12-2024_1,200.0,True,50,0,3000,-90,0,-1,True,
11,glass_120um_saline_1,19.06,38.05,06-12-2024_2,120.0,True,50,0,3000,-90,0,-1,True,
12,glass_250um_saline_1,18.76,38.67,06-12-2024_3,250.0,True,50,0,3000,-90,0,-1,True,
13,glass_875um_fresh_2,19.1,0.0,07-01-2025_1,875.0,True,100,350,3000,-90,0,-1,False,Removed first 61 frames
14,glass_375um_fresh_2,18.8,0.0,07-01-2025_2,375.0,True,100,400,3000,-90,0,-1,False,Cylinder moves after ~80 frames
15,glass_4mm_saline_1,19.3,38.38,09-12-2024_1,4000.0,True,150,400,3000,-90,0,-1,False,
16,glass_3mm_saline_1,19.15,37.36,09-12-2024_2,3000.0,True,150,400,3000,-90,0,-1,False,
17,glass_2mm_saline_1,18.94,38.46,09-12-2024_3,2000.0,True,150,300,3000,-90,0,-1,False,
18,glass_55um_saline_2,19.42,38.27,10-12-2024_1,55.0,False,0,0,-1,-90,0,-1,,
19,glass_4mm_saline_2,19.44,35.63,11-12-2024_1,4000.0,False,0,0,-1,-90,0,-1,,
20,glass_1mm_fresh_1,19.5,0.0,12-11-2024_1,1000.0,True,100,250,3000,90,0,-1,True,
21,glass_55um_fresh_1,19.2,0.0,12-11-2024_2,55.0,True,50,250,3000,90,0,2500,True,
22,glass_90um_fresh_1,19.0,0.0,12-11-2024_3,90.0,True,50,160,3000,90,0,-1,True,
23,glass_120um_saline_2,19.4,37.31,12-12-2024_1,120.0,False,0,0,-1,-90,0,-1,,
24,glass_16mm_fresh_2,18.9,0.0,13-01-2025_1,16000.0,True,150,300,3000,-90,0,-1,False,
25,glass_8mm_fresh_2,18.6,0.0,13-01-2025_2,8000.0,True,150,200,3000,-90,0,-1,False,"Removed first 8 frames, shifts after ~950 frames"
26,rvs_1mm_fresh_2,18.3,0.0,13-01-2025_3,1000.0,True,100,400,3000,-90,0,-1,True,
27,glass_120um_fresh_1,19.5,0.0,13-11-2024_1,120.0,True,130,250,3000,90,0,-1,False,More lighting from one side than the other
28,glass_250um_fresh_1,19.3,0.0,13-11-2024_2,250.0,True,80,200,3000,90,0,-1,False,
29,glass_200um_fresh_1,19.0,0.0,13-11-2024_3,200.0,True,80,200,3000,90,0,-1,False,
30,glass_3mm_saline_2,19.74,37.42,13-12-2024_1,3000.0,False,0,0,-1,-90,0,-1,,
31,glass_375um_fresh_3,18.6,0.0,14-01-2025_1,375.0,True,100,300,3000,-90,0,-1,False,Removed first 8 frames
32,glass_875um_fresh_3,18.8,0.0,14-01-2025_2,875.0,True,100,300,3000,-90,0,-1,False,Removed first 8 frames
33,glass_16mm_fresh_3,19.1,0.0,15-01-2025_1,16000.0,True,150,220,3000,-90,0,-1,False,Removed first 16 frames
34,glass_8mm_fresh_3,18.8,0.0,15-01-2025_2,8000.0,True,150,250,3000,-90,0,-1,False,Removed first 8 frames
35,rvs_1mm_fresh_3,18.5,0.0,15-01-2025_3,1000.0,True,100,300,3000,-90,0,-1,,
36,clear__saline_3,19.33,36.25,16-12-2024_1,0.0,False,0,0,-1,-90,0,-1,,
37,glass_875um_saline_1,19.21,37.97,17-01-2025_1,875.0,False,0,0,-1,-90,0,-1,,
38,glass_90um_saline_2,19.71,36.86,17-12-2024_1,90.0,False,100,0,-1,-90,0,-1,,
39,glass_4mm_fresh_1,19.2,0.0,18-11-2024_1,4000.0,True,100,0,3000,90,0,-1,,
40,glass_3mm_fresh_1,19.2,0.0,18-11-2024_2,3000.0,True,100,0,3000,90,0,-1,,
41,glass_2mm_fresh_1,19.0,0.0,18-11-2024_3,2000.0,True,100,0,3000,90,0,-1,,
42,glass_120um_saline_3,19.39,36.63,18-12-2024_1,120.0,False,0,0,-1,-90,0,-1,,
43,glass_1mm_fresh_2,19.6,0.0,19-11-2024_1,1000.0,True,100,0,3000,90,0,-1,,
44,glass_55um_fresh_2,19.5,0.0,19-11-2024_2,55.0,True,50,0,3000,90,0,-1,,
45,glass_90um_fresh_2,19.2,0.0,19-11-2024_3,90.0,True,50,0,3000,90,0,-1,,
46,glass_8mm_saline_1,19.15,38.07,20-01-2025_1,8000.0,False,0,0,-1,-90,0,-1,,
47,glass_200um_fresh_2,20.0,0.0,20-11-2024_1,200.0,False,0,0,-1,-90,0,-1,,
48,glass_120um_fresh_2,19.8,0.0,20-11-2024_2,120.0,False,0,0,-1,-90,0,-1,,
49,glass_250um_fresh_2,19.6,0.0,20-11-2024_3,250.0,False,0,0,-1,-90,0,-1,,
50,glass_4mm_fresh_2,19.7,0.0,21-11-2024_1,4000.0,True,150,0,3000,-90,0,-1,,
51,glass_3mm_fresh_2,19.5,0.0,21-11-2024_2,3000.0,True,150,0,3000,-90,0,-1,,
52,glass_2mm_fresh_2,19.3,0.0,21-11-2024_3,2000.0,True,100,0,3000,-90,0,-1,,
53,glass_375um_saline_1,20.63,38.16,22-01-2025_1,375.0,False,0,0,-1,-90,0,-1,,
54,glass_8mm_saline_2,19.83,37.95,24-01-2025_1,8000.0,False,0,0,-1,-90,0,-1,,
55,clear__fresh_1,20.0,0.0,25-10-2024_1,0.0,True,100,0,-1,90,0,-1,,
56,clear__fresh_2,20.0,0.0,25-10-2024_3,0.0,True,100,0,-1,90,0,-1,,
57,glass_1mm_fresh_3,19.2,0.0,25-11-2024_1,1000.0,True,100,0,3000,-90,0,-1,,
58,glass_55um_fresh_3,18.9,0.0,25-11-2024_2,55.0,True,50,0,3000,-90,0,-1,,
59,glass_90um_fresh_3,18.8,0.0,25-11-2024_3,90.0,True,50,0,3000,-90,0,-1,,
60,glass_4mm_fresh_3,19.6,0.0,26-11-2024_1,4000.0,True,150,0,3000,-90,0,-1,,
61,glass_3mm_fresh_3,19.5,0.0,26-11-2024_2,3000.0,True,150,0,3000,-90,0,-1,,
62,glass_2mm_fresh_3,19.4,0.0,26-11-2024_3,2000.0,True,100,0,3000,-90,0,-1,,
63,glass_8mm_saline_3,19.0,38.4,27-01-2025_1,8000.0,False,0,0,-1,-90,0,-1,,
64,glass_200um_fresh_3,19.6,0.0,27-11-2024_1,200.0,True,50,0,3000,-90,0,-1,,
65,glass_120um_fresh_3,19.3,0.0,27-11-2024_2,120.0,True,50,0,3000,-90,0,-1,,
66,glass_250um_fresh_3,19.3,0.0,27-11-2024_3,250.0,True,50,0,3000,-90,0,-1,,
